FixtureId,InningId,InningNumber,OverNumber,BattingPlayerId,NonStrikeBattingPlayerId,BallNumber,BowlerPlayerId,ShotAngle,ShotMagnitude,RunsScored,IsWicket,IsWide,IsNoBall,IsByes,IsLegByes,LengthTypeId,LineTypeId,BattingFeetId,BattingShotTypeId,BowlingDetailId,BowlingFromId,BowlingTypeId,BowlingHandId,BattingHandId,DecisionOfficialId,IsFreeHit,IsPowerPlay,IsBattingPowerPlay,IsFloodLit,IsReferred,OutcomeId,ReferralOutcomeId,TeamRuns,RunsByes,RunsConceded,RunsWide,RunsLegByes,FieldingPosition,TotalRuns
9606,10546,1,5,1171,1156,2,661,324,24,0,0,0,0,0,0,5,0,0,13,0,1,1,1,1,475,0,1,0,0,0,0,0,0,0,0,0,0,28,68
9606,10546,1,5,1171,1156,3,661,215,82,0,0,0,0,0,0,3,0,0,2,0,1,1,1,1,475,0,1,0,0,0,0,0,0,0,0,0,0,12,68
9606,10546,1,5,1171,1156,4,661,217,80,0,0,0,0,0,0,5,0,0,14,0,1,1,1,1,475,0,1,0,0,0,0,0,0,0,0,0,0,12,68
9606,10546,1,5,1171,1156,5,661,23,184,4,0,0,0,0,0,2,0,0,15,0,1,1,1,1,475,0,1,0,0,0,0,0,4,0,4,0,0,6,68
9606,10546,1,5,1171,1156,6,661,90,48,0,0,1,0,0,0,5,0,0,9,0,1,1,1,1,475,0,1,0,0,0,0,0,0,0,1,1,0,37,68
9606,10546,1,5,1171,1156,6,661,165,146,3,0,0,0,0,0,6,0,0,4,0,1,1,1,1,475,0,1,0,0,0,0,0,3,0,3,0,0,5,68
9606,10546,1,6,1171,1156,1,1028,90,48,0,0,0,1,0,0,5,0,0,23,0,1,1,1,1,243,0,1,0,0,0,0,0,0,0,1,0,0,37,68
9606,10546,1,6,1171,1156,1,1028,63,136,2,0,0,0,0,0,2,0,0,21,0,1,1,1,1,243,1,1,0,0,0,0,0,2,0,2,0,0,13,68
9606,10546,1,6,1171,1156,2,1028,135,135,1,0,0,0,0,0,5,0,0,16,0,1,1,1,1,243,0,1,0,0,0,0,0,1,0,1,0,0,35,68
9606,10546,1,6,1156,1171,3,1028,140,135,1,0,0,0,0,0,5,0,0,14,0,1,1,1,1,243,0,1,0,0,0,0,0,1,0,1,0,0,35,68
9606,10546,1,6,1171,1156,4,1028,148,147,2,0,0,0,0,0,6,0,0,4,0,1,1,1,1,243,0,1,0,0,0,0,0,2,0,2,0,0,35,68
9606,10546,1,6,1171,1156,5,1028,299,94,0,0,0,0,0,0,2,0,0,2,0,1,1,1,1,243,0,1,0,0,0,0,0,0,0,0,0,0,22,68
9606,10546,1,6,1171,1156,6,1028,35,138,1,0,0,0,0,0,6,0,0,9,0,1,1,1,1,243,0,1,0,0,0,0,0,1,0,1,0,0,13,68
9606,10546,1,7,1171,1156,1,1059,5,124,1,0,0,0,0,0,5,0,0,13,0,1,4,1,1,475,0,0,0,0,0,0,0,1,0,1,0,0,2,68
9606,10546,1,7,1156,1171,2,1059,353,191,4,0,0,0,0,0,4,0,0,3,0,1,4,1,1,475,0,0,0,0,0,0,0,4,0,4,0,0,9,68
9606,10546,1,7,1156,1171,3,1059,130,81,0,0,0,0,0,0,5,0,0,16,0,1,4,1,1,475,0,0,0,0,0,0,0,0,0,0,0,0,30,68
9606,10546,1,7,1156,1171,4,1059,195,88,0,0,0,0,0,0,5,0,0,14,0,1,4,1,1,475,0,0,0,0,0,0,0,0,0,0,0,0,4,68
9606,10546,1,7,1156,1171,5,1059,197,138,1,0,0,0,0,0,6,0,0,4,0,1,4,1,1,475,0,0,0,0,0,0,0,1,0,1,0,0,7,68
9606,10546,1,7,1171,1156,6,1059,187,74,0,0,0,0,0,0,5,0,0,4,0,1,4,1,1,475,0,0,0,0,0,0,0,0,0,0,0,0,24,68
9606,10546,1,8,1156,1171,1,3529,90,48,0,0,0,1,0,0,7,0,0,23,0,1,4,1,1,243,0,0,0,0,0,0,0,0,0,1,0,0,37,68
9606,10546,1,8,1156,1171,1,3529,188,72,0,0,0,0,0,0,5,0,0,4,0,1,4,1,1,243,1,0,0,0,0,0,0,0,0,0,0,0,24,68
9606,10546,1,8,1156,1171,2,3529,200,185,4,0,0,0,0,0,6,0,0,4,0,1,4,1,1,243,0,0,0,0,0,0,0,4,0,4,0,0,7,68
9606,10546,1,8,1156,1171,3,3529,182,77,0,0,0,0,0,0,5,0,0,4,0,1,4,1,1,243,0,0,0,0,0,0,0,0,0,0,0,0,24,68
9606,10546,1,8,1156,1171,4,3529,18,151,1,0,0,0,0,0,6,0,0,8,0,1,4,1,1,243,0,0,0,0,0,0,0,1,0,1,0,0,6,68
9606,10546,1,8,1171,1156,5,3529,301,97,0,1,0,0,0,0,6,0,0,8,0,1,4,1,1,243,0,0,0,0,0,1,0,0,0,0,0,0,22,68
9606,10546,1,8,1156,531,6,3529,340,111,1,0,0,0,0,0,4,0,0,13,0,1,4,1,1,243,0,0,0,0,0,0,0,1,0,1,0,0,23,68
9606,10546,1,9,1156,531,1,1059,224,155,1,0,0,0,0,0,4,0,0,2,0,1,4,1,1,475,0,0,0,0,0,0,0,1,0,1,0,0,8,68
9606,10546,1,9,531,1156,2,1059,347,87,0,0,0,0,0,0,5,0,0,12,0,1,4,1,2,475,0,0,0,0,0,0,0,0,0,0,0,0,4,68
9606,10546,1,9,531,1156,3,1059,43,74,0,0,0,0,0,0,6,0,0,4,0,1,4,1,2,475,0,0,0,0,0,0,0,0,0,0,0,0,30,68
9606,10546,1,9,531,1156,4,1059,0,0,0,1,0,0,0,0,6,0,0,8,0,1,4,1,2,243,0,0,0,0,0,1,0,0,0,0,0,0,0,68
9606,10546,1,9,1029,1156,5,1059,246,54,0,0,0,0,0,0,6,0,0,2,0,1,4,1,1,475,0,0,0,0,0,0,0,0,0,0,0,0,31,68
9606,10546,1,9,1029,1156,6,1059,199,78,0,0,0,0,0,0,5,0,0,14,0,1,4,1,1,475,0,0,0,0,0,0,0,0,0,0,0,0,4,68
9606,10546,1,10,1156,1029,2,1637,129,73,0,1,0,0,0,0,5,0,0,4,0,1,2,1,1,243,0,0,0,0,0,1,0,0,0,0,0,0,30,68
9606,10546,1,10,3800,1029,3,1637,185,67,0,0,0,0,0,0,4,0,0,2,0,1,2,1,1,243,0,0,0,0,0,0,0,0,0,0,0,0,24,68
9606,10546,1,10,3800,1029,4,1637,90,48,0,0,0,0,0,0,5,0,0,25,0,1,2,1,1,243,0,0,0,0,0,0,0,0,0,0,0,0,37,68
9606,10546,1,10,3800,1029,5,1637,90,48,0,0,0,0,0,0,5,0,0,14,0,1,2,1,1,243,0,0,0,0,0,0,0,0,0,0,0,0,37,68
9606,10546,1,10,3800,1029,6,1637,219,188,4,0,0,0,0,0,5,0,0,2,0,1,2,1,1,243,0,0,0,0,0,0,0,4,0,4,0,0,8,68
9606,10546,1,11,3800,1029,4,1059,90,48,0,1,0,0,0,0,5,0,0,2,0,1,4,1,1,243,0,0,0,0,0,1,0,0,0,0,0,0,37,68
9606,10546,1,11,3800,1029,2,1059,90,48,0,0,0,0,0,0,5,0,0,23,0,1,4,1,1,475,0,0,0,0,0,0,0,0,0,0,0,0,37,68
9606,10546,1,11,3800,1029,3,1059,90,48,0,0,0,0,0,0,5,0,0,10,0,1,4,1,1,475,0,0,0,0,0,0,0,0,0,0,0,0,37,68
9606,10546,1,11,1029,3800,1,1059,358,80,1,0,0,0,0,0,4,0,0,20,0,1,4,1,1,475,0,0,0,0,0,0,0,1,0,1,0,0,34,68
9606,10546,1,11,3810,1029,5,1059,204,86,0,0,0,0,0,0,4,0,0,14,0,1,4,1,1,475,0,0,0,0,0,0,0,0,0,0,0,0,4,68
9606,10546,1,11,3810,1029,6,1059,2,142,1,0,0,0,0,0,5,0,0,13,0,1,4,1,1,475,0,0,0,0,0,0,0,1,0,1,0,0,11,68
9606,10546,1,12,3810,1029,1,1028,184,157,1,0,0,0,0,0,2,0,0,2,0,1,1,1,1,243,0,0,0,0,0,0,0,1,0,1,0,0,10,68
9606,10546,1,12,1029,3810,2,1028,199,77,1,0,0,0,0,0,5,0,0,20,0,1,1,1,1,243,0,0,0,0,0,0,0,1,0,1,0,0,4,68
9606,10546,1,12,3810,1029,3,1028,270,40,0,0,0,0,0,0,5,0,0,10,0,1,1,1,1,243,0,0,0,0,0,0,0,0,0,0,0,0,3,68
9606,10546,1,12,3810,1029,4,1028,355,15,0,0,0,0,0,0,5,0,0,16,0,1,1,1,1,243,0,0,0,0,0,0,0,0,0,0,0,0,28,68
9606,10546,1,12,3810,1029,5,1028,181,83,1,0,0,0,0,0,5,0,0,14,0,1,1,1,1,243,0,0,0,0,0,0,0,1,0,1,0,0,24,68
9606,10546,1,12,1029,3810,6,1028,304,146,1,0,0,0,0,0,4,0,0,2,0,1,1,1,1,243,0,0,0,0,0,0,0,1,0,1,0,0,20,68
