InningNumber,OverNumber,BallNumber,IsWicket,IsWide,IsNoBall,IsByes,IsLegByes,IsFreeHit,IsPowerPlay,IsBattingPowerPlay,TeamRuns,RunsByes,RunsConceded,RunsWide,RunsLegByes,TotalRuns
1,6,5,0,0,0,0,0,0,1,0,0,0,0,0,0,77
1,6,6,0,0,0,0,0,0,1,0,1,0,1,0,0,77
1,7,1,0,0,0,0,0,0,0,0,1,0,1,0,0,77
1,7,2,0,0,0,0,0,0,0,0,4,0,4,0,0,77
1,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,77
1,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,77
1,7,5,0,0,0,0,0,0,0,0,1,0,1,0,0,77
1,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,77
1,8,1,0,0,1,0,0,0,0,0,0,0,1,0,0,77
1,8,1,0,0,0,0,0,1,0,0,0,0,0,0,0,77
1,8,2,0,0,0,0,0,0,0,0,4,0,4,0,0,77
1,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,77
1,8,4,0,0,0,0,0,0,0,0,1,0,1,0,0,77
1,8,5,1,0,0,0,0,0,0,0,0,0,0,0,0,77
1,8,6,0,0,0,0,0,0,0,0,1,0,1,0,0,77
1,9,1,0,0,0,0,0,0,0,0,1,0,1,0,0,77
1,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,77
1,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,77
1,9,4,1,0,0,0,0,0,0,0,0,0,0,0,0,77
1,9,5,0,0,0,0,0,0,0,0,0,0,0,0,0,77
1,9,6,0,0,0,0,0,0,0,0,0,0,0,0,0,77
1,10,2,1,0,0,0,0,0,0,0,0,0,0,0,0,77
1,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,77
1,10,4,0,0,0,0,0,0,0,0,0,0,0,0,0,77
1,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,77
1,10,6,0,0,0,0,0,0,0,0,4,0,4,0,0,77
1,11,4,1,0,0,0,0,0,0,0,0,0,0,0,0,77
1,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,77
1,11,3,0,0,0,0,0,0,0,0,0,0,0,0,0,77
1,11,1,0,0,0,0,0,0,0,0,1,0,1,0,0,77
1,11,5,0,0,0,0,0,0,0,0,0,0,0,0,0,77
1,11,6,0,0,0,0,0,0,0,0,1,0,1,0,0,77
1,12,1,0,0,0,0,0,0,0,0,1,0,1,0,0,77
1,12,2,0,0,0,0,0,0,0,0,1,0,1,0,0,77
1,12,3,0,0,0,0,0,0,0,0,0,0,0,0,0,77
1,12,4,0,0,0,0,0,0,0,0,0,0,0,0,0,77
1,12,5,0,0,0,0,0,0,0,0,1,0,1,0,0,77
1,12,6,0,0,0,0,0,0,0,0,1,0,1,0,0,77
1,13,1,0,0,0,0,0,0,0,0,1,0,1,0,0,77
1,13,2,0,0,0,0,0,0,0,0,0,0,0,0,0,77
1,13,3,0,0,0,0,0,0,0,0,0,0,0,0,0,77
1,13,4,0,0,0,0,0,0,0,0,0,0,0,0,0,77
1,13,5,0,0,0,0,0,0,0,0,1,0,1,0,0,77
1,13,6,0,0,0,0,0,0,0,0,1,0,1,0,0,77
1,14,1,0,0,0,0,1,0,0,0,0,0,0,0,1,77
1,14,2,0,0,0,0,0,0,0,0,0,0,0,0,0,77
1,14,3,0,0,0,0,0,0,0,0,0,0,0,0,0,77
1,14,4,1,0,0,0,0,0,0,0,0,0,0,0,0,77
1,14,5,0,0,0,0,1,0,0,0,0,0,0,0,1,77
1,14,6,0,0,0,0,0,0,0,0,1,0,1,0,0,77
1,15,1,0,0,0,0,0,0,0,0,1,0,1,0,0,77
1,15,2,0,0,0,0,0,0,0,0,1,0,1,0,0,77
1,15,3,0,0,0,0,0,0,0,0,0,0,0,0,0,77
1,15,4,0,0,0,0,0,0,0,0,1,0,1,0,0,77
1,15,5,0,0,0,0,0,0,0,0,0,0,0,0,0,77
1,15,6,0,0,0,0,0,0,0,0,0,0,0,0,0,77
1,16,4,0,0,0,0,0,0,0,0,0,0,0,0,0,77
1,16,5,0,0,0,0,0,0,0,0,1,0,1,0,0,77
1,16,6,0,0,0,0,0,0,0,0,1,0,1,0,0,77
1,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,77
1,16,2,0,0,0,0,0,0,0,0,1,0,1,0,0,77
1,16,3,1,0,0,0,0,0,0,0,0,0,0,0,0,77
1,17,1,0,0,0,0,0,0,0,0,6,0,6,0,0,77
1,17,2,0,0,0,0,0,0,0,0,4,0,4,0,0,77
1,17,3,1,0,0,0,0,0,0,0,0,0,0,0,0,77
2,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,78
2,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,78
2,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,78
2,1,4,0,1,0,0,0,0,1,0,0,0,1,1,0,78
2,1,4,0,0,0,0,0,0,1,0,2,0,2,0,0,78
2,1,5,0,1,0,0,0,0,1,0,0,0,1,1,0,78
2,1,5,0,0,0,0,0,0,1,0,0,0,0,0,0,78
2,1,6,1,0,0,0,0,0,1,0,0,0,0,0,0,78
2,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,78
2,2,2,0,0,0,0,0,0,1,0,1,0,1,0,0,78
2,2,3,0,0,0,0,0,0,1,0,4,0,4,0,0,78
2,2,4,0,0,0,0,0,0,1,0,0,0,0,0,0,78
2,2,5,0,0,0,0,0,0,1,0,0,0,0,0,0,78
2,3,1,0,0,0,0,1,0,1,0,0,0,0,0,2,78
2,3,2,0,0,0,0,0,0,1,0,0,0,0,0,0,78
2,3,3,0,0,0,0,0,0,1,0,2,0,2,0,0,78
2,3,4,0,0,0,0,0,0,1,0,1,0,1,0,0,78
2,3,5,0,0,0,0,0,0,1,0,4,0,4,0,0,78
2,3,6,0,0,0,0,0,0,1,0,4,0,4,0,0,78
2,4,1,0,0,0,0,0,0,1,0,0,0,0,0,0,78
2,4,2,0,0,0,0,0,0,1,0,4,0,4,0,0,78
2,4,3,0,0,0,0,0,0,1,0,0,0,0,0,0,78
2,4,4,0,0,0,0,0,0,1,0,1,0,1,0,0,78
2,4,5,0,0,0,0,0,0,1,0,0,0,0,0,0,78
2,4,6,0,0,0,0,0,0,1,0,0,0,0,0,0,78
2,5,1,0,0,0,0,0,0,1,0,1,0,1,0,0,78
